1777904951.3468943,0.362913292,0.098,0.82
1777904965.2053046,0.339679782,0.098,0.78
1777904968.6545174,0.339679782,0.098,0.78
1777904972.6777117,0.339679782,0.098,0.78
1777904983.30157,0.355727145,0.098,0.81
1777905976.5851057,0.582773424,0.1,1.3
1777905979.9505467,0.582773424,0.098,1.3
1777905983.1771936,0.582773424,0.098,1.3
1777906671.4806483,1.394856962,0.098,2.9
1777906694.592784,1.380553898,0.098,2.9
1777906756.2573829,1.305076723,0.098,2.7
1777906774.8120537,1.334299185,0.12,2.8
1777906813.3806372,1.319523389,0.29,2.9
1777906951.1920083,1.315451119,0.11,2.7
1777906984.5403712,1.390291338,0.098,2.9
1777906990.2337365,1.390291338,0.098,2.9
1777906995.9464488,1.440332314,0.14,3.0
1777907001.690947,1.440332314,0.098,3.0
1777907007.4090846,1.460038868,0.11,3.0
1777907013.0753322,1.460038868,0.12,3.0
1777907018.8196294,1.460038868,0.11,3.0
1777907024.5234206,1.466385577,0.1,3.0
1777907030.2013898,1.46583539,0.13,3.1
1777907035.8955822,1.46583539,0.12,3.0
1777907041.5917435,1.435060943,0.14,3.0
1777907047.4196608,1.435060943,0.11,3.0
1777907053.134019,1.383236394,0.098,2.9
1777907059.018497,1.383236394,0.11,2.9
1777907064.876116,1.421538745,0.11,3.0
1777907070.8152797,1.421538745,0.11,3.0
1777907076.6085184,1.421538745,0.11,3.0
1777907082.335547,1.336920834,0.098,2.8
1777907088.2090576,1.336920834,0.098,2.8
1777907094.8485372,1.350238364,0.098,2.8
1777907100.768267,1.350238364,0.098,2.8
1777907106.637176,1.293076693,0.14,2.7
1777907112.4305875,1.293076693,0.098,2.7
1777907118.3511453,1.300042621,0.11,2.7
1777907124.0810397,1.300042621,0.16,2.8
1777907129.7817948,1.2773985,0.2,2.8
1777907135.5709653,1.2773985,0.21,2.8
1777907141.294975,1.287055743,0.19,2.8
1777907147.031094,1.287055743,0.19,2.8
1777907152.7595356,1.268472852,0.11,2.6
1777907158.6037893,1.268472852,0.098,2.6
1777907164.6355395,1.26209471,0.13,2.7
1777907170.4049041,1.26209471,0.13,2.7
1777907176.3222697,1.340509608,0.17,2.9
1777907182.0759826,1.340509608,0.15,2.8
1777907187.7723913,1.299057471,0.11,2.7
1777907193.4698863,1.299057471,0.098,2.7
1777907199.1408231,1.296152552,0.12,2.7
1777907204.872358,1.296152552,0.13,2.7
1777907210.5612288,1.270245034,0.2,2.7
1777907216.2490745,1.270245034,0.17,2.7
1777907221.962684,1.270245034,0.13,2.7
1777907227.6704419,1.201487317,0.13,2.5
1777907233.6998918,1.237786872,0.14,2.6
1777907239.3929198,1.237786872,0.12,2.6
1777907245.084443,1.210948466,0.098,2.5
1777907250.8112032,1.210948466,0.11,2.5
1777907256.920434,1.210948466,0.098,2.5
1777907262.6058445,1.167115094,0.23,2.6
1777907268.4404585,1.167115094,0.18,2.5
1777907274.1370482,1.159672387,0.3,2.6
1777907279.8105023,1.159672387,0.16,2.5
1777907285.4983094,1.135411171,0.098,2.4
1777907291.333204,1.135411171,0.098,2.4
1777907297.3259377,1.11639878,0.13,2.4
1777907303.218731,1.11639878,0.11,2.3
1777907309.9760427,1.123274961,0.11,2.4
1777907315.7045777,1.123274961,0.1,2.3
1777907321.8629115,1.126878179,0.11,2.4
1777907327.856643,1.126878179,0.12,2.4
1777907333.713961,1.074677182,0.3,2.5
1777907339.5902622,1.074677182,0.1,2.2
1777907345.5967598,1.065232369,0.13,2.3
1777907351.421973,1.065232369,0.12,2.2
1777907357.275644,1.080661403,0.13,2.3
1777907363.0894108,1.080661403,0.12,2.3
1777907368.9386044,1.052360709,0.11,2.2
1777907374.801903,1.052360709,0.1,2.2
1777907380.647048,1.06044711,0.11,2.2
1777907386.5418036,1.06044711,0.12,2.2
1777907392.3700452,1.087376059,0.1,2.3
1777907398.2530165,1.087376059,0.1,2.3
1777907404.4367142,1.001349784,0.12,2.1
1777907410.2656238,1.001349784,0.15,2.1
1777907416.122268,1.071177642,0.11,2.3
1777907421.9949257,1.071177642,0.098,2.2
1777907427.958899,1.010640417,0.098,2.1
1777907433.9587252,1.010640417,0.098,2.1
1777907439.8136926,0.969871322,0.2,2.1
1777907445.6566002,0.969871322,0.17,2.1
1777907451.5552416,1.035500841,0.11,2.2
1777907457.441882,1.035500841,0.12,2.2
1777907463.3065376,1.093361051,0.15,2.3
1777907469.1962383,1.093361051,0.12,2.3
